GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
javaparser-core-testing,com.github.javaparser.ast.validator,Java7Validator,0,103,0,12,0,22,0,9,0,3
javaparser-core-testing,com.github.javaparser.ast.validator,Java1_2Validator,0,29,0,0,0,6,0,1,0,1
javaparser-core-testing,com.github.javaparser.ast.validator,Java1_3Validator,0,3,0,0,0,2,0,1,0,1
javaparser-core-testing,com.github.javaparser.ast.validator,Java10Validator,0,18,0,0,0,4,0,1,0,1
javaparser-core-testing,com.github.javaparser.ast.validator,NoProblemsValidator,4,0,0,0,2,0,2,0,2,0
javaparser-core-testing,com.github.javaparser.ast.validator,VisitorValidator,0,8,0,0,0,3,0,2,0,2
javaparser-core-testing,com.github.javaparser.ast.validator,Java8Validator,0,58,0,6,0,13,0,6,0,3
javaparser-core-testing,com.github.javaparser.ast.validator,ProblemReporter,0,28,0,0,0,7,0,3,0,3
javaparser-core-testing,com.github.javaparser.ast.validator,Java12Validator,0,3,0,0,0,2,0,1,0,1
javaparser-core-testing,com.github.javaparser.ast.validator,TreeVisitorValidator,0,28,0,2,0,8,0,3,0,2
javaparser-core-testing,com.github.javaparser.ast.validator,Java5Validator,0,114,0,10,0,25,0,10,0,5
javaparser-core-testing,com.github.javaparser.ast.validator,Java1_4Validator,0,8,0,0,0,3,0,1,0,1
javaparser-core-testing,com.github.javaparser.ast.validator,Java1_0Validator,9,390,1,19,2,69,3,32,2,23
javaparser-core-testing,com.github.javaparser.ast.validator,ReservedKeywordValidator,7,45,1,3,1,11,1,4,0,3
javaparser-core-testing,com.github.javaparser.ast.validator,Java1_1Validator,0,42,0,4,0,9,0,5,0,3
javaparser-core-testing,com.github.javaparser.ast.validator,SingleNodeTypeValidator,0,38,0,2,0,8,0,4,0,3
javaparser-core-testing,com.github.javaparser.ast.validator,Java6Validator,0,3,0,0,0,2,0,1,0,1
